BindingDB_Reactant_set_id,IC50_nM
216425,30.41
216506,30.45
401226,31
50624599,31
50712300,31
400845,31
352698,31
352727,31
352634,31
352670,31
352454,31
352504,31
352337,31
50252417,31
233839,0.1373
233816,0.139
233767,0.1401
233825,0.1413
233844,0.1455
233782,0.1466
51095850,0.15
233766,0.1532
233783,0.1543
233777,0.1612
233833,0.1665
233778,0.1669
233765,0.1684
233841,0.1694
50705183,0.17
50705197,0.17
233845,0.1751
233830,0.1769
233842,0.1804
233809,0.1806
50705186,0.19
233799,0.1915
233848,0.1921
400705,0.2
401213,0.2
401220,0.2
414983,0.2
414984,0.2
50857181,0.2
50246528,0.2
51095851,0.2
50905640,0.2
50710787,0.2
415001,0.2
233849,0.2125
233854,0.2168
233857,0.2185
50199358,0.22
50199377,0.22
233808,0.2215
233771,0.2226
233829,0.223
50705185,0.23
233860,0.2305
233759,0.2469
233831,0.2551
351114,0.26
216308,0.27
50199357,0.27
351115,0.29
50252428,31
285982,31
285781,31
285722,31
285723,31
285545,31
285456,31
51072997,31
216426,31.33
221709,31.37
216295,31.6
443858,32
50665794,32
401276,32
401157,32
50391277,32
352672,32
352694,32
352545,32
352548,32
352432,32
352481,32
352335,32
352387,32
352402,32
352294,32
352312,32
285990,32
285710,32
285714,32
285749,32
285603,32
286779,32
414964,32
234541,32
234539,32
216384,32.09
234589,32.1
234621,32.1
234559,32.2
216549,32.27
234642,32.4
234654,32.5
234548,32.5
216233,32.6
216463,32.64
443915,33
50559401,33
414929,33
415015,33
401240,33
400887,33
400914,33
400741,33
352609,33
352636,33
352513,33
352558,33
352489,33
352503,33
50417721,33
50230906,33
285869,33
285898,33
285847,33
285730,33
285544,33
285606,33
51091086,33
234547,33
51073014,33
51045324,33
50494057,33
50559435,33
216321,33.07
216472,33.44
216498,33.69
216317,33.95
443872,34
50905630,34
400870,34
352604,34
352605,34
352623,34
352559,34
352440,34
352403,34
285872,34
285806,34
285834,34
285550,34
262078,34
50081144,34
414941,34
234535,34.2
234603,34.3
234640,34.4
50973022,34.5
443873,35
50976225,35
401067,35
401203,35
401008,35
401057,35
352714,35
352652,35
352520,35
352567,35
352480,35
352389,35
285947,35
294099,35
285852,35
285870,35
285705,35
285624,35
285650,35
285662,35
414949,35
216345,35.44
234636,35.6
234628,35.8
234626,35.9
443878,36
50905633,36
50494047,36
401136,36
352637,36
352686,36
352549,36
