BindingDB Reactant_set_id,IC50 (nM)
225335,3.00E+03
50866762,3000
50866766,3000
50866826,3000
169517,3.00E+03
50066711,3021
357204,3038
50434289,3042
50390510,3060
8576,3080
50377909,3090
50374048,3096
50319510,3100
50445843,3100
50416836,3100
50628128,3100
50449132,3110
9422,3114
50369450,3120
50714220,3124
50847670,3131
50432986,3140
50628160,3160
51028701,3162.28
357141,3177
409016,3185
50426487,3200
50165029,3200
50377871,3200
50426503,3200
50506030,3200
50628126,3200
50938814,3200
51046943,3200
50330441,3220
50369547,3220
50385154,3220
50606631,4
154765,4
154769,4
50541589,4
50411506,4
50411518,4
50420341,4
50419205,4
50419227,4
50377842,4
50411464,4
50411467,4
50411476,4
50411486,4
50411493,4
50411497,4
50411505,4
50356322,4
50369308,4
50359442,4
50369299,4
50297410,4
50309939,4
50347895,4
50248669,4
50846385,4
50846397,4
27462,4
37946,4
27406,4
399330,4
399353,4
399356,4
399292,4
399298,4
399315,4
399318,4
399320,4
368393,4
368415,4
368418,4
323922,4
368373,4
368381,4
368383,4
368384,4
318784,4
50432973,4
50115024,4
50141100,4
50369546,3220
14439,3240
357155,3244
50597745,3270
280946,3280
50247850,3290
50165042,3300
50544477,3300
50600031,3300
50862569,3300
327891,3300
50927824,3300
50369549,3350
50165025,3350
50927842,3350
45148,3378
16073,3380
50449937,3400
50348498,3400
50413883,3400
50544471,3400
50581334,3400
51046942,3400
50628164,3410
50475496,3450
8197,3460
8200,3470
8178,3470
50432978,3500
50419239,3500
7434,3500
50313090,3500
231564,3505
50285174,3520
50418633,3530
50330426,3540
50369460,3540
50369361,3550
14427,3550
50331653,3550
8595,3570
50158672,3600
50323278,3600
50449934,3600
50964442,3600
50862572,3600
9926,3600
409017,3647
50165002,3680
16092,3680
50475501,3680
50927844,3700
50241011,3700
51045769,3700
48120,3784
358618,3786
50329757,3800
259834,3800
14893,3810
50432988,3820
50475499,3870
16149,3870
272106,3895
50511559,3900
50358901,3900
50424067,3900
50600035,3900
50576719,3900
50355105,3920
50931091,3954
50475503,3970
51028681,3981.07
50927815,4000
27489,4000
32020,4000
50323902,4000
50866768,4000
50862565,4000
411576,4030
8516,4040
273916,4050
50931092,4066
358602,4083
358626,4083
50477829,4100
50581372,4100
50445853,4100
50349036,4100
51046945,4100
50319538,4100
50443103,4100
50313083,4140
50463854,4190
